RC1-after,,
wcA,DF,1stO Diff
6015.29,28.64592593,0.105925926
6019.34,28.67,0.024074074
6035.78,28.75,0.08
6035.9,28.74978221,-0.000217786
6041.29,28.74,-0.009782214
6063.73,28.89,0.15
6082.37,28.92,0.03
6085.53,28.99,0.07
6106.64,29.04,0.05
6128.31,29.1,0.06
6143.83,29.14,0.04
6149.63,29.17,0.03
6170.94,29.22,0.05
6191.27,29.3,0.08
6213.72,29.43,0.13
6235.31,29.49,0.06
6256.17,29.55,0.06
6277.58,29.67,0.12
6299.19,29.76,0.09
6320.79,29.82,0.06
6342.34,29.9,0.08
6363.24,29.96,0.06
6385.11,30.03,0.07
6407.46,30.17,0.14
6428.52,30.22,0.05
6449.8,30.31,0.09
6471.54,30.39,0.08
6492.92,30.46,0.07
6514.22,30.59,0.13
6532.94,30.65,0.06
6554.18,30.72,0.07
6576.1,30.85,0.13
6597.38,30.96,0.11
6618.54,31.08,0.12
6638.96,31.16,0.08
6659.17,31.27,0.11
6669.04,31.25168831,-0.018311688
6669.95,31.25,-0.001688312
6690.4,31.38,0.13
6712.21,31.49,0.11
6732.46,31.57,0.08
6752.4,31.68,0.11
6766.39,31.69,0.01
6788,31.82,0.13
6809.26,31.95,0.13
6824.77,31.95,9.09E-13
6846.41,32.08,0.13
6866.6,32.11,0.03
6887.78,32.23,0.12
6909.55,32.29,0.06
6927.93,32.4,0.11
6949.71,32.51,0.11
6974.3,32.58,0.07
6994.91,32.67,0.09
7015.91,32.76,0.09
7037.7,32.87,0.11
7059.62,32.93,0.06
7078.41,32.98,0.05
7099.78,33.11,0.13
7121.27,33.2,0.09
7142.69,33.3,0.1
7164.67,33.43,0.13
7185.8,33.56,0.13
7206.72,33.63,0.07
7228.47,33.76,0.13
7249.83,33.87,0.11
7271.57,33.98,0.11
7292.28,34.07,0.09
7314.81,34.16,0.09
7336.61,34.26,0.1
7358.18,34.33,0.07
7379.45,34.44,0.11
7401,34.51,0.07
7402.13,34.57,0.06
7423.28,34.64,0.07
7443.93,34.81,0.17
7447.37,34.79,-0.02
7467.92,34.87,0.08
7468.92,34.87,0
7490.63,35.01,0.14
7506.52,35.12975506,0.119755064
7511.86,35.17,0.040244936
7525.97,35.24,0.07
7532.34,35.33,0.09
7553.32,35.5,0.17
7567.474864,35.55486381,0.054863813
7567.71,35.55577519,0.000911381
7571.38,35.57,0.014224806
7575.19,35.58,0.01
7599.44,35.71,0.13
7620.46,35.84,0.13
7643.27,35.93,0.09
7662.92,36.06,0.13
7683.84,36.12,0.06
7704.68,36.28,0.16
7729.04,36.3,0.02
7750.15,36.47,0.17
7771.56,36.49,0.02
7793.43,36.59,0.1
7813.9,36.72,0.13
7817.23,36.7311,0.0111
7824.2,36.75433333,0.023233333
7825.29,36.75796667,0.003633333
7829.37,36.77156667,0.0136
7831.16,36.77753333,0.005966667
7834.9,36.79,0.012466667
7856.46,36.88,0.09
7877.81,36.97,0.09
7898.14,37.09,0.12
7922.71,37.2,0.11
7943.58,37.3,0.1
7964.92,37.35,0.05
7986.52,37.51,0.16
8008.24,37.61,0.1
8030.1,37.73,0.12
8051.47,37.84,0.11
8072.15,37.92,0.08
8093.74,38.07,0.15
8115.05,38.15,0.08
8134.8,38.3,0.15
8151.35,38.36,0.06
8172.76,38.52,0.16
8194.08,38.6,0.08
8210.69,38.7,0.1
8228.31,38.81,0.11
8246.87,38.93,0.12
8268.62,39.09,0.16
8289.34,39.17,0.08
8308.71,39.31,0.14
8329.53,39.311,0.001
8347.25,39.46,0.149
8369.19,39.57,0.11
8389.29,39.67,0.1
8410.63,39.76,0.09
8430.8,39.86,0.1
8451.25,40.041,0.181
8471.51,40.18,0.139
8492.91,40.29,0.11
8514.11,40.43,0.14
8536.37,40.54,0.11
8559.22,40.6,0.06
8583.93,40.77,0.17
8607.81,40.9,0.13
8629.57,40.99,0.09
8650.16,41.07,0.08
8669.64,41.171,0.101
8689.98,41.24,0.069
8709.9,41.29,0.05
8730.28,41.401,0.111
8750.83,41.48,0.079
8772.18,41.64,0.16
8791.85,41.74,0.1
8812.56,41.88,0.14
8834.59,42.05,0.17
8855.68,42.16,0.11
8877.12,42.241,0.081
8901.2,42.43,0.189
8922.95,42.53,0.1
8942.36,42.651,0.121
8964.37,42.821,0.17
8985.26,42.99,0.169
9005.86,43.09,0.1
9027.01,43.23,0.14
9050.14,43.31,0.08
9071.33,43.5,0.19
9092.56,43.63,0.13
9113.22,43.78,0.15
9133.49,43.87,0.09
9157.45,44.02,0.15
9180.8,44.13,0.11
9201.87,44.27,0.14
9223.12,44.38,0.11
9241.91,44.55,0.17
9266.79,44.7,0.15
9288.3,44.78,0.08
9309.69,44.981,0.201
9330.46,45.07,0.089
9352.05,45.22963031,0.159630314
9352.1,45.23,0.000369686
9354.57,45.22,-0.01
9374.56,45.38,0.16
9395.45,45.5,0.12
9417.84,45.621,0.121
9438.45,45.68,0.059
9460.6,45.85,0.17
9481.81,45.94,0.09
9505.03,46.1,0.16
9526.28,46.19,0.09
9546.69,46.29,0.1
9548.29,46.331,0.041
9571.23,46.4,0.069
9596.23,46.55,0.15
9617.53,46.69,0.14
9638.55,46.77,0.08
9662.87,46.85,0.08
9683.69,46.93,0.08
9692.17,46.98,0.05
9704.23,46.99,0.01
9715.09,47.07104478,0.081044776
9715.17,47.07164179,0.000597015
9715.27,47.07238806,0.000746269
9720.28,47.10977612,0.03738806
9720.41,47.11074627,0.000970149
9720.52,47.11156716,0.000820896
9720.66,47.11261194,0.001044776
9721.7,47.12037313,0.007761194
9721.94,47.12216418,0.001791045
9722.19,47.12402985,0.001865672
9725.67,47.15,0.025970149
