RC2-after,,
wcAi,DF,1st Diff
71588.06,-340.93,-0.28
71611.63,-341.04,-0.11
71651.54,-341.28,-0.24
71691.44,-341.53,-0.25
71730.27,-341.76,-0.23
71770.15,-341.93,-0.17
71810.1,-342.15,-0.22
71835.26,-342.3,-0.15
71866.8,-342.45,-0.15
71906.74,-342.69,-0.24
71946.67,-342.96,-0.27
71986.6,-343.2,-0.24
72011.01,-343.32,-0.12
72043.81,-343.56,-0.24
72083.78,-343.75,-0.19
72109.63,-343.88,-0.13
72135.39,-343.96,-0.08
72175.29,-344.11,-0.15
72188.8759,-344.1540991,-0.044099054
72190.67,-344.1599226,-0.005823542
72215.34,-344.24,-0.080077403
72253.51959,-344.4504086,-0.21040857
72250.63,-344.434484,0.015924602
72255.26,-344.46,-0.025516032
72295.27,-344.67,-0.21
72303.27,-344.68,-0.01
72332.73,-344.84,-0.16
72359.58235,-344.9476516,-0.10765161
72360.88,-344.9528539,-0.005202312
72372.64,-345,-0.047146079
72393.65344,-345.1165647,-0.116564694
72395.57,-345.1271962,-0.010631473
72412.3,-345.22,-0.092803833
72452.24,-345.45,-0.23
72492.18,-345.68,-0.23
72531.75,-345.97,-0.29
72571.64,-346.25,-0.28
72605.37,-346.47,-0.22
72645.3,-346.7,-0.23
72685.27,-346.95,-0.25
72725.12,-347.26,-0.31
72765.1,-347.49,-0.23
72805.03,-347.78,-0.29
72839.35,-348.06,-0.28
72879.3,-348.27,-0.21
72919.08,-348.55,-0.28
72958.95,-348.81,-0.26
72998.89,-349.09,-0.28
73038.82,-349.39,-0.3
73078.67,-349.64,-0.25
73111.22,-349.86,-0.22
73151.1,-350.15,-0.29
73190.94,-350.58,-0.43
73230.9,-350.8,-0.22
73270.83,-351.07,-0.27
73310.77,-351.31,-0.24
73350.74,-351.59,-0.28
73388.01,-351.82,-0.23
73426.98,-351.99,-0.17
73466.7,-352.26,-0.27
73492.52,-352.44,-0.18
